CHAPEDES  5864  5933     1    2016_08_03
*---  ad hoc run min and max
*---  Made with pedestal run 5864 ( run 5864, 2016-08-03 )
*---  
  2   4     99         0         0
  2   5     99         0         0
  2   6     99         0         0
  2   7     99         0         0
  2   8     99         0         0
  2   9     99         0         0
  2  10     99         0         0
  2  11     99         0         0
  2  12     99         0         0
  2  13     99         0         0
  2  14     99         0         0
  2  15     99         0         0
  2  16     99         0         0
  2  17     99         0         0
  2  18     99         0         0
  2  19     99         0         0
  2  20     99         0         0
  2  21     99         0         0
  2  22     99         0         0
  2  23     99         0         0
  2  24     99         0         0
  2  25     99         0         0
  2  26     99         0         0
  2  27     99         0         0
  2  28     99         0         0
  2  29     99         0         0
  2  30     99         0         0
  2  31     99         0         0
  2  32     99         0         0
  2  33     99         0         0
  2  34     99         0         0
  2  35     99         0         0
  2  36      0   400.201   2.59768
  2  37      0   400.326   2.70836
  2  38      0   399.815   2.68415
  2  39      0   400.718   2.72385
  2  40      0   400.507   2.77661
  2  41      0   399.708    3.3304
  2  42      0   401.045   3.15042
  2  43      0   400.929   2.83495
  2  44      0   399.335   3.22452
  2  45      0   400.169   3.22584
  2  46      0   400.123   3.48576
  2  47      0   401.283   3.14577
  2  48      0   401.381   2.50223
  2  49      0   401.683   2.74712
  2  50      0   400.063   2.47778
  2  51      0   402.294   2.58683
  2  52      0   399.157   2.70088
  2  53      0   399.367   2.65446
  2  54      0   400.332   2.61143
  2  55      0   399.945   2.58313
  2  56      0   400.425   3.30833
  2  57      0   401.071   3.04932
  2  58      0   400.593   3.34784
  2  59      0    400.84   3.37095
  2  60      0   400.162   3.39053
  2  61      0   399.661   3.24702
  2  62      0    400.91   3.03765
  2  63      0   402.076   3.22723
  2  64      0   401.297   2.46048
  2  65      0    401.95   2.54895
  2  66      0   399.314   2.57543
  2  67      0    400.03    2.8568
  2  68      0   399.987   2.60762
  2  69      0   399.491   2.47073
  2  70      0   399.105   2.57413
  2  71      0   402.781   2.54699
  2  72      0    400.85   3.22433
  2  73      0   401.165   2.90464
  2  74      0   399.962   2.94681
  2  75      0   400.197   2.78128
  2  76      0   399.728   2.92797
  2  77      0   400.318   3.42043
  2  78      0   399.864   3.29323
  2  79      0   400.613   2.96664
  2  80      0   400.073   3.10165
  2  81      0    399.98   2.83872
  2  82      0    400.73   3.50108
  2  83      0   401.765    3.2428
  2  84      0   401.021   3.18152
  2  85      0   400.263   2.72363
  2  86      0   399.906   3.49391
  2  87      0    399.83   3.02887
  2  88      0   400.366   2.66646
  2  89      0   400.913   2.73791
  2  90      0   400.205   2.61342
  2  91      0   399.532   2.70734
  2  92     99         0         0
  2  93     99         0         0
  2  94     99         0         0
  2  95     99         0         0
  2  96     99         0         0
  2  97     99         0         0
  2  98     99         0         0
  2  99     99         0         0
  2 100     99         0         0
  2 101     99         0         0
  2 102     99         0         0
  2 103     99         0         0
  2 104     99         0         0
  2 105     99         0         0
  2 106     99         0         0
  2 107     99         0         0
  2 108     99         0         0
  2 109     99         0         0
  2 110     99         0         0
  2 111     99         0         0
  2 112     99         0         0
  2 113     99         0         0
  2 114     99         0         0
  2 115     99         0         0
  2 116     99         0         0
  2 117     99         0         0
  2 118     99         0         0
  2 119     99         0         0
  2 120     99         0         0
  2 121     99         0         0
  2 122     99         0         0
  2 123     99         0         0
  2 124     99         0         0
  2 125     99         0         0
  2 126     99         0         0
  2 127     99         0         0
  3   0     99         0         0
  3   1     99         0         0
  3   2     99         0         0
  3   3     99         0         0
  3   4     99         0         0
  3   5     99         0         0
  3   6     99         0         0
  3   7     99         0         0
  3   8     99         0         0
  3   9     99         0         0
  3  10     99         0         0
  3  11     99         0         0
  3  12     99         0         0
  3  13     99         0         0
  3  14     99         0         0
  3  15     99         0         0
  3  16     99         0         0
  3  17     99         0         0
  3  18     99         0         0
  3  19     99         0         0
  3  20     99         0         0
  3  21     99         0         0
  3  22     99         0         0
  3  23     99         0         0
  3  24     99         0         0
  3  25     99         0         0
  3  26     99         0         0
  3  27     99         0         0
  3  28     99         0         0
  3  29     99         0         0
  3  30     99         0         0
  3  31     99         0         0
  3  32     99         0         0
  3  33     99         0         0
  3  34     99         0         0
  3  35      0   400.295   2.85258
  3  36      0   400.185   2.65127
  3  37      0   400.638   2.42458
  3  38      0   400.704   2.44982
  3  39      0    399.29   2.69929
  3  40      0   401.886   3.58139
  3  41      0   400.179    3.3667
  3  42      0   398.316   2.77222
  3  43      0   399.798   3.24779
  3  44      0   400.049   2.96737
  3  45      0   399.595   3.22737
  3  46      0   399.972   3.34052
  3  47      0   400.852   3.31525
  3  48      0   402.061   3.48082
  3  49      0   400.626   3.00312
  3  50      0    400.43   3.33616
  3  51      0   400.146   3.60185
  3  52      0   400.415   2.61365
  3  53      0   399.354   2.53654
  3  54      0   400.447   2.71541
  3  55      0    400.13   2.98023
  3  56      0    399.53   3.58372
  3  57      0   400.448    3.0339
  3  58      0   399.898   3.33125
  3  59      0    400.02   3.38824
  3  60      0   400.101    2.7705
  3  61      0   400.194   3.26071
  3  62      0   403.588   2.75858
  3  63      0    400.95    2.9073
  3  64      0   400.318   3.07984
  3  65      0    399.56   3.60636
  3  66      0   400.126   2.91478
  3  67      0   400.713   3.09783
  3  68      0   401.162   3.33975
  3  69      0   400.383   3.05513
  3  70      0    401.71   3.20843
  3  71      0   400.289   2.92797
  3  72      0   401.355   3.13665
  3  73      0   399.932   4.03831
  3  74      0   400.194   2.78547
  3  75      0   399.377   3.06384
  3  76      0   402.125   3.03231
  3  77      0   400.788   3.02333
  3  78      0   400.136   2.99245
  3  79      0   399.799   4.02906
  3  80      0   399.069   2.72662
  3  81      0   400.873   2.96124
  3  82      0   400.908   3.20423
  3  83      0   399.491    3.3181
  3  84      0   400.134   2.99174
  3  85      0   400.452     3.296
  3  86      0   399.703   3.47564
  3  87      0   400.069   3.53429
  3  88      0    401.76   2.65589
  3  89      0   401.306   2.88911
  3  90      0   402.438   2.62118
  3  91      0   399.796   2.59567
  3  92      0    400.75   2.63242
  3  93     99         0         0
  3  94     99         0         0
  3  95     99         0         0
  3  96     99         0         0
  3  97     99         0         0
  3  98     99         0         0
  3  99     99         0         0
  3 100     99         0         0
  3 101     99         0         0
  3 102     99         0         0
  3 103     99         0         0
  3 104     99         0         0
  3 105     99         0         0
  3 106     99         0         0
  3 107     99         0         0
  3 108     99         0         0
  3 109     99         0         0
  3 110     99         0         0
  3 111     99         0         0
  3 112     99         0         0
  3 113     99         0         0
  3 114     99         0         0
  3 115     99         0         0
  3 116     99         0         0
  3 117     99         0         0
  3 118     99         0         0
  3 119     99         0         0
  3 120     99         0         0
  3 121     99         0         0
  3 122     99         0         0
  3 123     99         0         0
  3 124     99         0         0
  3 125     99         0         0
  3 126     99         0         0
  3 127     99         0         0
  4   0     99         0         0
  4   1     99         0         0
  4   2     99         0         0
  4   3     99         0         0
  4   4     99         0         0
  4   5     99         0         0
  4   6     99         0         0
  4   7     99         0         0
  4   8     99         0         0
  4   9     99         0         0
  4  10     99         0         0
  4  11     99         0         0
  4  12     99         0         0
  4  13     99         0         0
  4  14     99         0         0
  4  15     99         0         0
  4  16     99         0         0
  4  17     99         0         0
  4  18     99         0         0
  4  19     99         0         0
  4  20     99         0         0
  4  21     99         0         0
  4  22     99         0         0
  4  23     99         0         0
  4  24     99         0         0
  4  25     99         0         0
  4  26     99         0         0
  4  27     99         0         0
  4  28     99         0         0
  4  29     99         0         0
  4  30     99         0         0
  4  31     99         0         0
  4  32     99         0         0
  4  33     99         0         0
  4  34      0   399.551   2.49708
  4  35      0    399.87   2.61999
  4  36      0   399.973    2.6833
  4  37      0   399.889   2.80111
  4  38      0   399.971   2.70966
  4  39      0   400.107   2.68678
  4  40      0   401.069   2.81481
  4  41      0   400.298   3.03179
  4  42      0   400.221   3.30003
  4  43      0    400.09   3.55524
  4  44      0   400.722   3.34233
  4  45      0   400.131   2.73853
  4  46      0   400.656   3.12622
  4  47      0   401.352   3.04711
  4  48      0   399.888   3.21566
  4  49      0    399.73   3.06336
  4  50      0   402.334   3.32466
  4  51      0   401.487    3.1087
  4  52      0   400.375   3.27368
  4  53      0   399.622   2.81021
  4  54      0   399.063   2.90451
  4  55      0   400.972   2.83254
  4  56      0   399.481    2.7483
  4  57      0   399.428   2.68851
  4  58      0   399.318   2.65018
  4  59      0   401.445     2.424
  4  60      0   399.976   2.87233
  4  61      0   398.919   2.66262
  4  62      0   399.989   2.60878
  4  63      0   399.722   2.69778
  4  64      0   399.237   2.72523
  4  65      0   399.135    2.5609
  4  66      0   400.978   2.74515
  4  67      0   401.671   2.57313
  4  68      0    400.54   2.72468
  4  69      0   399.985   2.62825
  4  70      0   400.275   2.62877
  4  71      2   400.374   1.39499
  4  72      0   399.795   2.65879
  4  73      0   400.458   2.71163
  4  74      0   400.526   2.45163
  4  75      0   400.557   2.52908
  4  76      0   400.329   2.61998
  4  77      0   399.965   2.74198
  4  78      0   400.815   2.63254
  4  79      0   400.926   2.78047
  4  80      0   400.426   2.49649
  4  81      0   402.624   2.91873
  4  82      0   400.143   2.58932
  4  83      0   401.247    2.6623
  4  84      0   401.606   2.80611
  4  85      0   399.733    2.9559
  4  86      0    399.52   2.69635
  4  87      0   400.308   2.70389
  4  88      0   400.044   2.72281
  4  89      0   400.932   2.72696
  4  90      0   400.054   2.63661
  4  91      0   400.932   2.60197
  4  92      0   403.049   2.86528
  4  93      0   401.593   2.79299
  4  94     99         0         0
  4  95     99         0         0
  4  96     99         0         0
  4  97     99         0         0
  4  98     99         0         0
  4  99     99         0         0
  4 100     99         0         0
  4 101     99         0         0
  4 102     99         0         0
  4 103     99         0         0
  4 104     99         0         0
  4 105     99         0         0
  4 106     99         0         0
  4 107     99         0         0
  4 108     99         0         0
  4 109     99         0         0
  4 110     99         0         0
  4 111     99         0         0
  4 112     99         0         0
  4 113     99         0         0
  4 114     99         0         0
  4 115     99         0         0
  4 116     99         0         0
  4 117     99         0         0
  4 118     99         0         0
  4 119     99         0         0
  4 120     99         0         0
  4 121     99         0         0
  4 122     99         0         0
  4 123     99         0         0
  4 124     99         0         0
  4 125     99         0         0
  4 126     99         0         0
  4 127     99         0         0
  5   0     99         0         0
  5   1     99         0         0
  5   2     99         0         0
  5   3     99         0         0
  5   4     99         0         0
  5   5     99         0         0
  5   6     99         0         0
  5   7     99         0         0
  5   8     99         0         0
  5   9     99         0         0
  5  10     99         0         0
  5  11     99         0         0
  5  12     99         0         0
  5  13     99         0         0
  5  14     99         0         0
  5  15     99         0         0
  5  16     99         0         0
  5  17     99         0         0
  5  18     99         0         0
  5  19     99         0         0
  5  20     99         0         0
  5  21     99         0         0
  5  22     99         0         0
  5  23     99         0         0
  5  24     99         0         0
  5  25     99         0         0
  5  26     99         0         0
  5  27     99         0         0
  5  28     99         0         0
  5  29     99         0         0
  5  30     99         0         0
  5  31     99         0         0
  5  32     99         0         0
  5  33      0   400.067   3.69814
  5  34      0    399.79   3.40736
  5  35      0   400.047   2.89158
  5  36      0   400.433   3.13852
  5  37      0   400.164   3.08237
  5  38      0   402.855   3.20956
  5  39      0   401.263   3.53199
  5  40      0   400.231   3.31873
  5  41      0   400.294   2.91247
  5  42      0   400.357   3.32325
  5  43      0   399.612   3.37629
  5  44      0   400.423   3.03843
  5  45      0   400.843   3.17179
  5  46      0   399.684   2.76764
  5  47      0   400.304   2.86818
  5  48      0    399.81   2.71238
  5  49      0   399.985   2.95467
  5  50      0   400.516   3.73649
  5  51      0   401.354   3.08743
  5  52      0    400.05   3.47157
  5  53      0   399.654   3.72505
  5  54      0   400.608   3.01375
  5  55      0   400.474    3.0188
  5  56      0   399.973   3.31642
  5  57      0   399.351   2.80702
  5  58      0   399.913    2.6984
  5  59      0   399.802   2.88029
  5  60      0   400.759   3.21195
  5  61      0   399.411   3.33501
  5  62      0   398.459   3.40613
  5  63      0   400.068   2.81957
  5  64      0   399.969    2.7302
  5  65      0   399.641   3.12267
  5  66      0    399.59    2.5855
  5  67      0   400.952   2.56556
  5  68      0   400.446   2.64391
  5  69      0    400.43   2.66664
  5  70      0   399.713   2.51621
  5  71      0   400.955    2.4225
  5  72      0   401.081   3.11424
  5  73      0   399.838   2.59414
  5  74      0    399.47   3.51458
  5  75      0   400.638   3.29994
  5  76      0   400.758   3.27509
  5  77      0   399.542   3.13921
